type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
MovingImage	2015-11-04	CC0		http://vertnet.org/resources/norms.html	Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 2ec46b31-0d7a-4e87-8ca3-4ff0adc48c8b. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	http://macaulaylibrary.org/video/476994	urn:lsid:biocol.org:col:34939			CLO	ML		MachineObservation				2ec46b31-0d7a-4e87-8ca3-4ff0adc48c8b	476994		Luke Seitz					forage		present			http://macaulaylibrary.org/video/476994																2014-12-21		355	355	2014	12	21	21-Dec-2014								| Ethiopia | Amara |  |  |  |  |	Africa				Ethiopia	ET	Amara			Gemessa Gedel	Ethiopia | Amara | Gemessa Gedel											9.820473	39.734888	not recorded (forced WGS84)				9.820473	39.734888									requires verification																														Theropithecus gelada						Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada		species			gelada baboon	ICZN											Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	e2e717bf-551a-4917-bdc9-4fa0f342c530	edwin.scholes@cornell.edu	Edwin Scholes III, Ph.D.	2015-11-04	2016-08-11	2015-10-15	1	0	0	0		observation	0
MovingImage	2015-11-04	CC0		http://vertnet.org/resources/norms.html	Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: 5b636cf5-79c7-47ce-944c-5cb767105c64. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	http://macaulaylibrary.org/video/476991	urn:lsid:biocol.org:col:34939			CLO	ML		MachineObservation				5b636cf5-79c7-47ce-944c-5cb767105c64	476991		Luke Seitz					groom		present			http://macaulaylibrary.org/video/476991																2014-12-21		355	355	2014	12	21	21-Dec-2014								| Ethiopia | Amara |  |  |  |  |	Africa				Ethiopia	ET	Amara			Gemessa Gedel	Ethiopia | Amara | Gemessa Gedel											9.820473	39.734888	not recorded (forced WGS84)				9.820473	39.734888									requires verification																														Theropithecus gelada						Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada		species			gelada baboon	ICZN											Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	e2e717bf-551a-4917-bdc9-4fa0f342c530	edwin.scholes@cornell.edu	Edwin Scholes III, Ph.D.	2015-11-04	2016-08-11	2015-10-15	1	0	0	0		observation	0
PhysicalObject	2016-12-16T14:49:55.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: 102f74a9-4d05-4a25-93ba-f9c61dd9850d. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=102f74a9-4d05-4a25-93ba-f9c61dd9850d	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				102f74a9-4d05-4a25-93ba-f9c61dd9850d	27186	AMB-727	A. M. Bailey		male														2526412									3056	1927-03-28		87	87	1927	3	28									Africa, Ethiopia, Begemdir, Ethiopean: Simien Mts, Devark, 20 mi NE, Mt Geech	Africa				Ethiopia		Begemdir			Simien Mts, Devark, 20 mi NE, Mt Geech											decimal degrees	13.25	38.2333336	not recorded				13.25	38.2333333							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Male		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-3-17T19:10:15.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: 4ff296d5-dcc2-4789-9fb2-848a09a1a2b0. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=4ff296d5-dcc2-4789-9fb2-848a09a1a2b0	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				4ff296d5-dcc2-4789-9fb2-848a09a1a2b0	27184	AMB-724	A. M. Bailey		male														2526410									3055	1927-03-27		86	86	1927	3	27									Africa, Ethiopia, Begemdir, Ethiopean: Simien Mts, Devark, 20 mi NE, Mt Geech	Africa				Ethiopia		Begemdir			Simien Mts, Devark, 20 mi NE, Mt Geech		3200									decimal degrees	13.25	38.2333336	not recorded				13.25	38.2333333							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Male		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2018-4-16T10:21:18.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: 6a75480b-1851-45af-a0c9-6c3aa7775cb0. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=6a75480b-1851-45af-a0c9-6c3aa7775cb0	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				6a75480b-1851-45af-a0c9-6c3aa7775cb0	27185	AMB-725	A. M. Bailey		female														2526411									41705	1927-03-27		86	86	1927	3	27									Africa, Ethiopia, Begemdir, Ethiopean: Simien Mts, Devark, 20 mi NE, Mt Geech	Africa				Ethiopia		Begemdir			Simien Mts, Devark, 20 mi NE, Mt Geech		3200									decimal degrees	13.25	38.2333336	not recorded				13.25	38.2333333							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Female		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-12-16T14:57:47.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: 7def2bea-162e-4cba-aed1-112ef7e7dd0d. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=7def2bea-162e-4cba-aed1-112ef7e7dd0d	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				7def2bea-162e-4cba-aed1-112ef7e7dd0d	27038	AMB-6	A. M. Bailey		male														2526264									121222	1926-10-23		296	296	1926	10	23									Africa, Ethiopia, Gojjam, Ethiopean: Enjiabara and Sakalla, bet	Africa				Ethiopia		Gojjam			Enjiabara and Sakalla, bet		2134									decimal degrees	11.0333338	37.1333351	not recorded				11.0333333	37.1333333							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Male		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-12-16T14:50:04.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: e5fa517e-e4a8-4882-bef8-cf56dae49977. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=e5fa517e-e4a8-4882-bef8-cf56dae49977	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				e5fa517e-e4a8-4882-bef8-cf56dae49977	27187	AMB-726	A. M. Bailey		male														2526413									3057	1927-03-28		87	87	1927	3	28									Africa, Ethiopia, Begemdir, Ethiopean: Simien Mts, Devark, 20 mi NE, Mt Geech	Africa				Ethiopia		Begemdir			Simien Mts, Devark, 20 mi NE, Mt Geech											decimal degrees	13.25	38.2333336	not recorded				13.25	38.2333333							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Male		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
MovingImage	2015-11-04	CC0		http://vertnet.org/resources/norms.html	Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: c093efcb-6db7-43c7-bb5e-93fd7c718c31. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	http://macaulaylibrary.org/video/476993	urn:lsid:biocol.org:col:34939			CLO	ML		MachineObservation				c093efcb-6db7-43c7-bb5e-93fd7c718c31	476993		Luke Seitz					groom		present			http://macaulaylibrary.org/video/476993																2014-12-21		355	355	2014	12	21	21-Dec-2014								| Ethiopia | Amara |  |  |  |  |	Africa				Ethiopia	ET	Amara			Gemessa Gedel	Ethiopia | Amara | Gemessa Gedel											9.820473	39.734888	not recorded (forced WGS84)				9.820473	39.734888									requires verification																														Theropithecus gelada						Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada		species			gelada baboon	ICZN											Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	e2e717bf-551a-4917-bdc9-4fa0f342c530	edwin.scholes@cornell.edu	Edwin Scholes III, Ph.D.	2015-11-04	2016-08-11	2015-10-15	1	0	0	0		observation	0
MovingImage	2015-11-04	CC0		http://vertnet.org/resources/norms.html	Macaulay Library. Macaulay Library Audio and Video Collection. Record ID: cd8a8104-c90a-45cf-85e5-73d0b33f39c3. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	http://macaulaylibrary.org/video/476992	urn:lsid:biocol.org:col:34939			CLO	ML		MachineObservation				cd8a8104-c90a-45cf-85e5-73d0b33f39c3	476992		Luke Seitz					forage		present			http://macaulaylibrary.org/video/476992																2014-12-21		355	355	2014	12	21	21-Dec-2014								| Ethiopia | Amara |  |  |  |  |	Africa				Ethiopia	ET	Amara			Gemessa Gedel	Ethiopia | Amara | Gemessa Gedel											9.820473	39.734888	not recorded (forced WGS84)				9.820473	39.734888									requires verification																														Theropithecus gelada						Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada		species			gelada baboon	ICZN											Macaulay Library. Macaulay Library Audio and Video Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film (source published on 2015-11-04)	7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1	e2e717bf-551a-4917-bdc9-4fa0f342c530	edwin.scholes@cornell.edu	Edwin Scholes III, Ph.D.	2015-11-04	2016-08-11	2015-10-15	1	0	0	0		observation	0
PhysicalObject	2018-4-16T10:21:19.000CMT	https://creativecommons.org/publicdomain/zero/1.0/	The Field Museum of Natural History	http://fieldmuseum.org/about/copyright-information	Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Record ID: 13039dba-5a88-438c-bfa7-86cc8e8255b0. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	http://portal.vertnet.org/o/fmnh/mammals?id=13039dba-5a88-438c-bfa7-86cc8e8255b0	FMNH	Mammals	mammals-05-feb-2019	FMNH	Mammals		PreservedSpecimen				13039dba-5a88-438c-bfa7-86cc8e8255b0	27040	AMB-5	A. M. Bailey		male														2526266									41700	1926-10-23		296	296	1926	10	23									Africa, Ethiopia, Gojjam, Ethiopean: Jigga, 5 mi E	Africa				Ethiopia		Gojjam			Jigga, 5 mi E											decimal degrees	10.666667	37.9500008	not recorded				10.6666667	37.95							not recorded																																Theropithecus gelada					Animalia Chordata Mammalia Primates Cercopithecidae	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus		gelada															Male		Field Museum of Natural History. Field Museum of Natural History (Zoology) Mammal Collection. Source: http://fmipt.fieldmuseum.org:8080/ipt/resource.do?r=fmnh_mammals (source published on 2017-10-18)	41fc5c40-5e81-496f-9733-6b5681b3b7a5	7b8aff00-a9f8-11d8-944b-b8a03c50a862	sgrant@fieldmuseum.org	Sharon Grant	2017-10-18	2019-02-28	no migrator	0	0	0	0	0	specimen	0
